match_id,date,team_a,team_b,group,rating_a_before,rating_b_before,elo_diff,rank_diff,log_market_value_a,log_market_value_b,market_value_rel_mean_diff,avg_player_value_diff,form_diff_last5,weighted_goals_for_diff_last5,weighted_goals_against_diff_last5,opponent_strength_diff_last5,rating_change_diff_last5,team_a_matches_played_before,team_b_matches_played_before,team_a_days_since_last_match,team_b_days_since_last_match,days_since_match_diff,team_a_tournament_matches_played,team_b_tournament_matches_played,tournament_points_diff,tournament_goal_diff_diff,competition_weight,is_home_adv
56,2026-06-25 20:00:00+00:00,Ecuador,Germany,Group E,1933.0,1923.0,10.0,-2,5.55817850079741,6.914234245079846,-6.795121187164318,-30.060000000000002,-1.6,-2.220074280599821,-0.18994665386903287,173.60000000000014,-8.0,264,298,60,60,0,0,0,0,0,5.0,0
57,2026-06-25 23:00:00+00:00,Japan,Sweden,Group F,1904.0,1719.0,185.0,-30,5.589306464757314,6.078513423394504,-1.5354618350116462,-6.880000000000001,1.6,0.4909935513494976,-1.1879904052322259,48.399999999999864,5.6000000000000005,340,282,60,60,0,0,0,0,0,5.0,0
58,2026-06-25 23:00:00+00:00,Tunisia,Netherlands,Group F,1636.0,1961.0,-325.0,50,4.252060308213856,6.638567789166521,-6.309463057746429,-27.86,-1.0000000000000002,-1.4955379918959124,0.4753391440050073,-102.20000000000005,-4.6,282,276,60,60,0,0,0,0,0,5.0,0
59,2026-06-26 02:00:00+00:00,Turkey,United States,Group D,1902.0,1721.0,181.0,-27,0.0,5.879694646264972,-3.244087167853191,-13.21,0.8,-0.42386183332454586,-1.1357094637735616,-136.20000000000005,7.2,257,368,60,60,0,0,0,0,0,5.0,0
60,2026-06-26 02:00:00+00:00,Paraguay,Australia,Group D,1833.0,1783.0,50.0,-4,4.93662988078576,3.959478946584441,0.7900584588489116,3.5500000000000003,0.0,-0.20706825700654186,-0.0026321959841608678,87.20000000000005,1.4000000000000004,254,255,60,60,0,0,0,0,0,5.0,0
61,2026-06-26 19:00:00+00:00,Norway,France,Group I,1912.0,2081.0,-169.0,9,6.375876246018314,7.295735072749282,-8.062470631628411,-34.09,-1.0,-1.0353412850327097,-0.038802487321686896,6.800000000000182,3.8000000000000003,229,292,60,60,0,0,0,0,0,5.0,0
62,2026-06-26 19:00:00+00:00,Senegal,Iraq,Group I,1878.0,1607.0,271.0,-46,6.142682358850603,3.007166651179654,4.047787708989122,15.919999999999998,1.2,0.5185486227319731,-0.7025721248135653,75.60000000000014,11.0,250,337,60,60,0,0,0,0,0,5.0,0
65,2026-06-27 00:00:00+00:00,Cape Verde,Saudi Arabia,Group H,1549.0,1568.0,-19.0,2,4.06182137051654,3.3541057741283047,0.2679304961170592,1.0000000000000002,0.3999999999999999,0.7524965817243612,-0.3687661740476911,-45.59999999999991,7.0,162,357,60,60,0,0,0,0,0,5.0,0
66,2026-06-27 00:00:00+00:00,Uruguay,Spain,Group H,1892.0,2165.0,-273.0,14,5.8971538676367405,7.148345743900068,-8.25800714440902,-35.92,-1.0000000000000002,-1.929260218411246,0.8587381968720817,129.0,0.0,270,293,60,60,0,0,0,0,0,5.0,0
63,2026-06-27 03:00:00+00:00,Egypt,Iran,Group G,1689.0,1760.0,-71.0,20,4.915811662574783,3.597312260588446,0.9088355219612262,3.84,0.0,-0.1661408715708066,0.17779401187470295,200.5999999999999,10.200000000000001,295,297,60,60,0,0,0,0,0,5.0,0
64,2026-06-27 03:00:00+00:00,New Zealand,Belgium,Group G,1585.0,1867.0,-282.0,46,3.520460802488973,6.3265071909196005,-4.77836668906663,-20.209999999999997,-1.4000000000000001,-1.9374997250501231,0.27184599619141525,283.20000000000005,-5.8,149,243,60,60,0,0,0,0,0,5.0,0
67,2026-06-27 21:00:00+00:00,Panama,England,Group L,1737.0,2020.0,-283.0,32,3.49195174493062,7.182352111885263,-11.669891924392548,-49.199999999999996,-0.3999999999999999,-0.6683455549043511,0.41282764985589143,-123.80000000000018,0.2,333,271,60,60,0,0,0,0,0,5.0,0
68,2026-06-27 21:00:00+00:00,Croatia,Ghana,Group L,1930.0,1505.0,425.0,-72,5.878575765029364,5.684191824891197,0.5740588226377725,4.239999999999998,1.7999999999999998,1.6678922619157086,-0.38069001079824294,-196.60000000000014,0.39999999999999997,262,263,60,60,0,0,0,0,0,5.0,0
71,2026-06-27 23:30:00+00:00,Colombia,Portugal,Group K,1975.0,1984.0,-9.0,0,5.7002763353269135,6.873163834212518,-6.0666339930374855,-25.659999999999997,-0.20000000000000018,-0.9253911472614609,-0.007768703843268665,174.5999999999999,8.200000000000001,270,284,60,60,0,0,0,0,0,5.0,0
72,2026-06-27 23:30:00+00:00,DR Congo,Uzbekistan,Group K,1655.0,1727.0,-72.0,14,0.0,4.378645926514404,-0.71602742563802,-1.97,0.19999999999999996,-0.11791949665147494,-0.3006701120865595,-84.59999999999991,1.4,222,263,60,60,0,0,0,0,0,5.0,0
69,2026-06-28 02:00:00+00:00,Algeria,Austria,Group J,1743.0,1827.0,-84.0,12,5.432848259505643,5.563370320939456,-0.2901216166372773,-0.8800000000000008,0.0,0.4056268596155548,-0.0013331511489518277,71.0,4.6,249,223,60,60,0,0,0,0,0,5.0,0
70,2026-06-28 02:00:00+00:00,Jordan,Argentina,Group J,1690.0,2113.0,-423.0,48,2.9575110607337933,6.637913124658687,-6.7687464947427465,-25.68,-1.4,-1.0073809920122576,0.956581357449113,268.0,3.4000000000000004,333,298,60,60,0,0,0,0,0,5.0,0
