MatchNumber,RoundNumber,DateUtc,Location,HomeTeam,AwayTeam,Group,HomeTeamScore,AwayTeamScore
94,5,2026-07-07 00:00:00Z,Seattle Stadium,To be announced,To be announced,,,
95,5,2026-07-07 16:00:00Z,Atlanta Stadium,To be announced,To be announced,,,
96,5,2026-07-07 20:00:00Z,BC Place Vancouver,To be announced,To be announced,,,
97,6,2026-07-09 20:00:00Z,Boston Stadium,To be announced,To be announced,,,
98,6,2026-07-10 19:00:00Z,Los Angeles Stadium,To be announced,To be announced,,,
99,6,2026-07-11 21:00:00Z,Miami Stadium,To be announced,To be announced,,,
100,6,2026-07-12 01:00:00Z,Kansas City Stadium,To be announced,To be announced,,,
101,7,2026-07-14 19:00:00Z,Dallas Stadium,To be announced,To be announced,,,
102,7,2026-07-15 19:00:00Z,Atlanta Stadium,To be announced,To be announced,,,
103,8,2026-07-18 21:00:00Z,Miami Stadium,To be announced,To be announced,,,
104,8,2026-07-19 19:00:00Z,New York/New Jersey Stadium,To be announced,To be announced,,,
